votos_obtenidos_millones,porcentaje_votos_estado,presupuesto_campana_millones,anuncios_televisivos,numero_voluntarios,aprobacion_encuestas_porcentaje,eventos_campana,edad_candidato,puntuacion_debates,dias_desde_anuncio_candidatura
48.692393908512166,53.46952080049934,193.77537241350865,1379,3297,49.93030467343255,35,63,7.541735594587481,112
60.17400469665422,45.204368608626936,218.28728863273332,1121,7860,71.29058141851962,33,53,1.1425899313252499,228
44.68137432697543,40.38131063197376,148.68908910519156,645,7431,58.538397593769304,47,54,8.188837841476943,131
45.24095721529625,56.48963447358774,177.07089309787406,859,6927,37.283047357190405,84,62,5.181861606490182,108
36.938793016540274,36.52135623081882,173.4309352711261,692,7496,70.0724207907802,47,54,8.247075681976298,107
44.38231049270976,49.44755875482062,246.80395070037014,1212,7087,53.44889510859535,17,46,2.496571776063039,100
34.86338144184824,42.91557605402719,273.95288110882217,1352,8713,63.84353877399312,82,71,1.5529478692547571,224
63.64166790212063,43.30409702696142,183.49565245530462,1571,4640,43.73524183004226,66,63,5.797537405457396,216
54.33432499723074,44.31980461391724,233.1521529820321,645,2557,36.08968542498221,10,58,9.703947618967186,336
38.75213352273242,43.92260747963611,167.67796723005523,1981,4948,71.66556848815057,42,53,1.8686569817010565,125
45.74306082832696,40.3002134455034,237.85250710796788,1372,2285,26.78168051915238,15,66,7.505051007852806,199
52.723179878938446,59.19349773814166,139.84856460372384,1939,4935,66.1839317214752,73,60,4.271478940904804,238
62.44762859039126,42.36941133146911,226.97908718571372,593,4506,55.92103085190117,77,52,8.773988488953815,325
28.012049202224905,32.29152483555525,206.3885253406244,501,4391,34.55840250683778,59,38,6.222907931450386,313
38.006663121255016,57.69336152033695,212.26505504934698,574,2653,40.691896704070786,54,55,1.8724375299013833,105
33.07296383366943,30.995212477163243,220.5947709504141,1871,4138,54.706485214459875,69,62,6.022417746809696,172
36.051025465778366,46.93604641880101,182.01373698537282,691,9358,36.69775461589911,34,38,4.8084768072583675,180
52.58445610275544,55.278119399473844,135.5386418198272,1372,5433,59.01703961683143,90,39,8.177417171766304,141
40.40505383509685,45.08044377623936,213.2396526185824,951,2946,59.12349605378761,92,56,9.709257759719842,162
49.4941789480311,48.53734218067505,194.3313191471597,1720,6348,22.58715251955542,50,61,4.704695352707449,200
48.29990760494774,40.97611227151817,167.28851211152124,1133,4823,51.7661170931001,19,67,1.0359970566202152,305
51.23677915189145,31.758273002076947,158.203120213623,847,4731,54.950977058616246,79,37,3.9791311292734273,155
66.96205707779251,37.28199072265926,285.11488398781734,677,8620,39.84843142272915,56,38,6.793289661117868,106
42.91608721498604,30.576538214378775,189.69096190356566,1399,4572,62.436147424270615,90,35,1.5816483561786365,263
55.73532863119547,36.166396005558646,223.0172089819253,1023,4182,40.13046644259745,55,72,8.032208703621066,258
48.636216396459744,38.394440307745434,187.97363303361513,1372,1651,24.530184320552802,33,42,3.488915273989812,316
49.82769596517295,50.705471041010064,182.051528207908,644,8821,45.08566536401588,54,66,1.5907301548180284,327
46.971107237100476,51.919416874880966,85.86935963639739,1861,6373,22.065046680295687,20,77,9.023067562056731,359
51.43555904958159,49.777739504196845,102.37800104241762,687,9925,67.16324931946328,31,46,9.914228902604124,274
42.63449090578377,41.64320836876206,135.67607441408666,1726,9226,62.18388950687923,29,36,5.5044406700511805,210
59.598066402478636,30.51712392390134,219.95931444603696,1637,1092,72.28973708971651,24,57,1.2099031817504322,333
73.22201815071199,48.94665502410041,194.40339216097462,1284,3274,41.119387100516704,36,58,3.020132938458479,101
39.550708308745484,30.48082237807912,253.74124604871136,643,5399,77.5006916122761,73,60,8.369465070502809,268
41.833009898038796,50.7777692718236,173.61157134133316,1715,5658,38.63341474497524,81,60,6.210468060956572,340
55.82415186557703,36.87313670400029,231.5998839701306,1598,6217,65.67126923367104,38,65,3.221637156599718,291
47.64524585881637,33.7220597426999,185.85631690071256,1221,8072,46.229636166378285,47,77,2.8602951769324116,297
33.09765673461271,30.850669085112187,195.75905032525839,1937,6207,31.756915513077438,70,37,1.716474558617547,136
42.139234597506885,44.00127354869698,204.36438439177144,624,1202,33.5504572726592,73,45,1.690409580957506,225
53.32412293667199,38.943086222699975,88.15989185556614,1660,6125,48.077530457769,45,68,5.757156992194736,181
32.86398872772972,56.71773677773222,235.90297176771907,1763,8323,53.786949461187646,64,61,4.162175780983656,191
59.628131537530884,32.95375749162419,277.2244415891265,1834,6627,78.91424296884759,89,39,7.306114495986823,279
32.01343784247505,33.396909304123106,253.50616089003196,1523,7417,59.316163025447125,68,76,5.1295629613078395,158
38.84272658750855,59.20983480446384,224.1935285359674,1264,6689,69.72200867884813,57,67,9.864930998281805,224
55.38465015481402,58.91687514145943,225.3134333513796,772,9277,44.55087190118211,33,54,9.491985337246383,151
68.24708999837048,41.30013537933978,232.31092070640307,1540,7760,62.43002702379449,42,42,8.30193952353333,258
50.326884734625345,53.950798819500946,129.41714045560894,1518,4923,74.29729038770499,74,60,4.694776831279293,270
64.62516492959207,41.26900849921712,249.50302130564117,656,1950,73.69117472209871,48,78,7.568431469633136,234
57.85643169382734,31.52804759951302,304.0097275004547,760,8507,26.78079720534798,70,37,4.912832490830886,129
47.69201596958433,50.22375193828263,181.41540585082828,1932,4355,23.14270420661561,51,39,4.07452786025644,224
32.12262684215367,59.64688993457886,232.9437738507873,932,5453,55.140299824981206,23,37,5.011843315289287,127
28.96744681878314,45.234240571010965,257.1523028725882,745,7506,65.11538610354314,68,60,6.5483044011350575,256
52.92056569037421,44.207157953106005,220.89114391108276,1803,3918,53.75243561707006,12,46,4.9377191165153995,213
54.74378108150132,42.45264448357456,202.25413132043303,1551,3319,25.35075601204555,50,78,1.8439900312504247,206
51.774193202571446,58.819857226653035,181.21168389916693,1536,4538,67.75600258323723,14,39,6.143079967213922,143
58.45636962750337,55.36976943045107,192.66734542406226,1162,4723,22.682347892780093,99,51,7.489707652422178,345
57.440208835259426,56.26467541167971,219.30495155115304,1390,8274,51.93562638308951,36,59,9.190267818892886,254
68.43387717580727,38.603531075829636,112.40017928530473,1648,7519,70.92858992831162,44,39,3.4872050184300205,219
58.00560920301864,53.4044097386406,151.45678277888314,1087,1264,71.35582456263757,54,72,8.952631904940281,345
51.32392338611513,39.03732911402351,184.4647490422636,697,5979,28.223614570533492,69,71,3.1170519709776525,306
31.633820812144,46.43697303136157,179.98947240078053,980,4088,66.79131571110162,49,44,8.500606170465034,178
56.73334842593228,34.706020116317525,255.1140340966749,1079,6072,39.8308693276243,47,45,5.223961617633852,108
49.251188983108435,58.3245875137759,215.96503766808416,1588,4375,75.80060361356956,71,54,6.122410060505232,324
39.2401597804053,35.331218320580064,169.82268803781227,1316,6806,41.97447357783604,38,61,8.672746466373189,111
61.91484201378362,30.66006401776711,245.06421044621908,1536,7907,41.70597320769365,45,56,9.276698463021196,271
58.0493842059739,46.824404978610794,191.10712245644822,927,2251,73.7530831770766,68,68,8.371506793643661,323
35.723067070768266,30.575032335069675,148.5716542914871,1622,1913,36.88346940913591,98,38,3.8968796212532775,326
44.17510157755615,39.83909510016819,245.85261223236643,1490,5611,75.11510624873526,44,39,5.952621226842914,360
41.95462013055078,39.336667059089535,137.2717612921906,1513,1612,60.154115830241594,38,54,2.715128061608382,131
58.675173504454406,37.258596130528545,264.020785966946,1547,8725,31.16006911965456,85,58,1.7640853115541402,205
60.666674874490504,43.11566965010441,223.15744729627383,554,7216,33.00567540905855,43,79,7.728848150972573,281
39.255947438520515,57.19852069681042,253.32790805606106,566,2377,70.77342066635346,57,44,7.923382813326565,174
37.45046399879863,56.09537957980632,217.7947468107713,1678,8288,41.690601931128995,40,66,9.850172261143761,314
56.69369967794466,55.93092879341346,184.07228642805092,1623,2088,34.76307016855233,53,41,9.40888995288358,100
43.74780889852361,50.36694582136559,196.35806331519038,889,6503,67.400292281339,86,49,9.014795959843525,235
60.904760974441224,59.38272980658685,240.13909514375803,859,4894,48.858494227644115,36,43,5.077329647861447,296
45.855287408073515,53.56890307890799,121.75534797383179,1760,5432,41.00762748217164,98,53,1.3442074544980196,160
56.44891386585158,30.5365259679375,239.93598632570382,753,5790,48.48753523333768,57,52,8.249636284921563,126
59.8593667335703,56.98368584750207,159.23267398318328,1205,8651,34.7161387419184,31,53,9.119814510521792,110
61.83177659053683,42.51883698373243,227.22782714562265,861,1853,39.930219827198655,83,63,9.673997597578168,234
43.4713086344304,49.6982482684572,194.7908729366703,1220,6162,36.2993609822942,81,64,5.032650720708527,329
63.157305010217996,56.07159277348114,132.86740752261383,1940,9031,59.59560899999116,24,57,6.799250086361025,345
61.65659897693361,45.07393141141805,214.43129667888488,514,4638,22.189443440987123,92,70,5.0066374534843785,144
59.881132287669196,55.65960784609253,181.9051963102363,1653,6522,54.20156790532541,81,72,5.109390747065953,111
50.01463287225539,33.13056168929951,149.25944320041032,853,8461,55.52806470443484,80,63,8.437466543427245,217
44.87905487252158,45.64559608512308,205.26143862830327,500,8832,58.02846249247602,35,56,6.38204398730633,319
52.714789424200035,31.161301192622812,248.99406309407667,830,5184,70.03948379345798,44,65,5.233407074066092,337
51.19346395213589,55.31270542512217,227.65919532336343,1267,5974,61.13400374559534,25,74,7.775144636089604,146
45.23071574692309,52.03314338351899,175.454044588888,1946,6279,55.1110540513176,17,61,8.406020297141882,138
31.17009484923956,32.58259196419994,143.0752623748081,1008,2444,62.301891061402294,91,56,5.587835476410217,357
55.871019098955394,37.53962882270107,203.34454583463395,1300,2342,65.95988903830926,51,65,6.032113686346056,200
60.477054006568906,30.19508180818039,125.51119222729022,1330,5640,34.35637964880126,28,48,7.416161505771942,204
66.75642476373658,50.12439034188559,198.16676567569348,1022,3466,62.834995140640174,91,51,6.122963750476507,307
54.39764276774481,50.340044628973885,206.78219146658455,1318,8521,21.97200671173577,61,50,1.4047382751552155,240
47.703326002613494,36.2909623608783,280.5529456828557,632,5408,48.75393911763581,88,40,2.241217142705194,305
65.61647429206668,31.43944944078194,172.77491582727762,1895,2258,76.82999661147613,19,77,8.987263045002198,119
59.13057641123888,35.467498294158545,165.12747339460384,1569,3725,76.40847002910685,26,70,9.782939673893297,117
42.625157684638936,43.85805437260335,230.98425325087305,1993,8963,59.772367085135244,94,59,7.917946590614477,332
67.46815961984903,46.01148149378666,169.72771768737258,960,3938,73.86148370928635,38,58,4.262163385829993,159
56.03414564980127,58.05843988000656,211.58672418292053,824,7735,61.78315946308692,75,64,6.7171194045428875,163
60.65789895230042,38.04678585980459,235.70514384054303,1970,3701,40.75881832312717,52,55,3.3611286620513896,331
45.98504995029896,46.4031722617532,130.90511446230252,1243,7361,22.78707668963165,80,50,9.012292098764838,206
58.151115472410964,57.452897638025306,226.5049206119128,1365,6708,21.981928799324145,19,54,8.366443291988947,223
46.82459296046764,33.488534024408224,182.22933462686777,1197,8457,20.22363343689599,27,53,6.182820017914745,355
54.95689558950555,58.121319248075615,247.63702632990774,751,4671,48.22724277647601,42,63,2.5853019484289512,306
67.80212310615212,52.2457035451819,249.8086048848824,1144,2763,34.18266734702539,16,60,2.996578839737697,126
45.867221867228686,52.52250403689443,182.54076920446954,753,1560,52.205993317916054,48,53,7.1846388022440255,191
43.444718625518725,42.79861975273798,199.902759245962,946,2856,37.228701809151296,67,47,8.456763468432573,182
37.7819399483439,56.60432135534444,240.32092199418176,1429,7192,64.0068996683446,97,49,9.561315207488471,352
61.661768846011235,36.03963912488778,222.2703153874107,1676,2802,72.10074725896553,52,79,3.2339706812026403,322
56.04587140656573,52.93832760387217,237.59775427126783,1048,5368,25.748663042785687,49,47,3.623711078977341,236
43.59629458547873,31.582897366597777,162.62648699187162,1119,9088,34.72517793689163,91,79,9.936097682715104,282
64.62574029540986,56.41224451806858,190.62537157183408,1895,5725,49.22126401448649,11,57,8.319795083450195,292
29.888015564636667,36.58586239912236,289.0533644967147,1632,3469,72.67379417305492,67,76,9.525262258610349,187
46.34849365481371,45.950382970903334,221.03744103101025,1970,4384,51.14288058631034,21,44,3.973395754470642,177
46.83781303714114,57.286869487095586,162.66632562302243,862,3597,50.98921813650594,36,76,2.80372648333213,103
52.43344054971442,37.14686837727639,195.84015384259135,811,4634,78.47535020687154,49,40,7.827162083416885,235
39.46788079913345,59.91401635734784,230.58100582326202,831,2785,74.5831773085013,25,57,9.706568357620894,340
64.9040230381254,58.18202488460615,100.01109965292751,1648,7265,36.23951774892657,46,55,7.982173002767373,274
66.59643558141903,39.80691070158897,207.96195816348134,538,4012,56.237158625399005,78,54,8.296017046757031,122
51.163574271883896,48.60998290497399,180.71037504812116,633,7994,45.51845154936831,18,62,4.10102318656712,289
71.00047611283811,47.20740660768731,266.1811452850794,1489,3304,70.4346148945016,73,60,3.714425970828936,232
52.121001062536386,33.81202989111816,163.63313379169318,819,2274,54.98723524887169,18,64,9.922668378311153,239
54.82172473746756,54.09060597006912,203.05961915864614,593,5351,66.1535154193065,65,71,4.032950143516838,349
55.985956229093304,50.62174611792238,178.12487715431268,1963,7054,38.24600261585792,17,48,3.5171224833277748,346
51.105698624851925,37.2549821586433,213.3821748334828,1885,4878,56.90942946128073,18,74,9.29760803309031,285
55.4465630024675,45.017225528364634,178.51178378296103,519,3281,74.40430693342695,74,51,7.510137787323279,336
59.80520550095937,59.106534859604544,187.6996269070558,867,7018,75.8125796681476,80,70,5.5802694378917055,115
45.994867665452304,39.95508563717421,213.0726680987999,1156,7022,35.14453656387195,76,61,8.597431272980927,352
41.71955793421304,30.403145023490232,170.12006317492384,1308,6880,72.99764309311725,74,43,2.39301922878841,111
37.64095395750064,40.960572422523825,73.97239650871872,1119,7047,53.4412126397108,95,46,3.9212307364527996,322
71.44334157358067,38.829477192372224,149.47348206729268,1331,9104,79.7292615574678,11,73,2.724129607576552,183
61.33636202964901,52.7990796903308,174.98153892861603,1165,8050,78.55328644225538,70,40,9.697916273754153,124
